dataset,method,tag,n_seeds,seeds,epochs,best_auroc,best_aupr,valsel_auroc,valsel_aupr,config_sha8,rotation_files
computers,outpost,T_warmup15,3,0 1 42,200,0.8226 +- 0.0168,0.5976 +- 0.0306,0.7733,0.5140,7ceccd44,15
cs,outpost,A_main,5,0 1 2 3 42,200,0.9832 +- 0.0021,0.9552 +- 0.0051,0.9274,0.8475,5999b680,40
cs,demo,B_demo,5,0 1 2 3 42,200,0.9596 +- 0.0074,0.9059 +- 0.0159,0.8894,0.7780,04c3b5e3,40
cs,demo,B_demo_mix,5,0 1 2 3 42,200,0.9603 +- 0.0042,0.9083 +- 0.0078,0.8883,0.7702,317733b0,40
cs,outpost,C_noconformal,5,0 1 2 3 42,200,0.9785 +- 0.0040,0.9468 +- 0.0086,0.9125,0.8230,e418b75f,40
cs,outpost,C_nogate,5,0 1 2 3 42,200,0.9832 +- 0.0021,0.9551 +- 0.0051,0.9281,0.8488,a5b6afa1,40
cs,outpost,C_nopl,5,0 1 2 3 42,200,0.9184 +- 0.0044,0.8307 +- 0.0088,0.8911,0.7769,4aee22e6,40
cs,outpost,C_sim,5,0 1 2 3 42,200,0.9836 +- 0.0019,0.9577 +- 0.0046,0.9281,0.8454,88b66959,40
cs,demo,E400_demo,10,0 1 2 3 4 5 6 7 8 42,400,0.9646 +- 0.0044,0.9155 +- 0.0105,0.9008,0.7948,0f06da18,80
cs,outpost,E400_nogate,10,0 1 2 3 4 5 6 7 8 42,400,0.9842 +- 0.0018,0.9576 +- 0.0045,0.9374,0.8644,a5b4704c,80
cs,nsreg,E400_nsreg,10,0 1 2 3 4 5 6 7 8 42,400,0.9701 +- 0.0035,0.9336 +- 0.0072,0.9294,0.8549,e1e6eb52,80
cs,outpost,E400_outpost,10,0 1 2 3 4 5 6 7 8 42,400,0.9842 +- 0.0018,0.9575 +- 0.0045,0.9389,0.8680,bcd08c81,80
cs,outpost,L_lean,5,0 1 2 3 42,200,0.9184 +- 0.0044,0.8307 +- 0.0088,0.8911,0.7769,b51924ed,40
cs,nsreg,N201_nsreg,5,0 1 2 3 42,201,0.9709 +- 0.0039,0.9354 +- 0.0077,0.9196,0.8371,f69e23de,40
cs,outpost,T_Kp12,3,0 1 42,200,0.9838 +- 0.0027,0.9573 +- 0.0058,0.9206,0.8359,ada15d0e,24
cs,outpost,T_Kp4,3,0 1 42,200,0.9838 +- 0.0025,0.9573 +- 0.0057,0.9161,0.8243,80e91111,24
cs,outpost,T_drop0.3,3,0 1 42,200,0.9836 +- 0.0022,0.9562 +- 0.0055,0.9253,0.8439,5da0ed21,24
cs,outpost,T_hidden128,3,0 1 42,200,0.9838 +- 0.0026,0.9575 +- 0.0055,0.9241,0.8387,64ef4be8,24
cs,outpost,T_hidden32,3,0 1 42,200,0.9838 +- 0.0024,0.9567 +- 0.0061,0.9121,0.8180,1b90baa2,24
cs,outpost,T_lambda_un0.5,3,0 1 42,200,0.9837 +- 0.0025,0.9566 +- 0.0057,0.9224,0.8389,cdbd889f,24
cs,outpost,T_lambda_un1.5,3,0 1 42,200,0.9839 +- 0.0025,0.9575 +- 0.0059,0.9209,0.8334,f0733f4f,24
cs,outpost,T_nosynth,3,0 1 42,200,0.9841 +- 0.0025,0.9571 +- 0.0065,0.8985,0.7898,c879591e,24
cs,outpost,T_warmup15,3,0 1 42,200,0.9838 +- 0.0025,0.9571 +- 0.0055,0.9120,0.8197,9db4016e,24
ogbn-arxiv,outpost,A_main,10,0 1 2 3 4 5 6 7 8 42,400,0.6229 +- 0.0081,0.3049 +- 0.0060,0.6058,0.2948,61fe01d9 ab8f62fc,40
ogbn-arxiv,outpost,A_nogate400,5,0 1 2 3 42,400,0.6225 +- 0.0084,0.3051 +- 0.0066,0.6048,0.2962,99197a6f,20
ogbn-arxiv,demo,B_demo_mix,10,0 1 2 3 4 5 6 7 8 42,400,0.6176 +- 0.0106,0.2966 +- 0.0072,0.6037,0.2871,91eabab4,40
ogbn-arxiv,outpost,C_sim,5,0 1 2 3 42,400,0.6233 +- 0.0086,0.3060 +- 0.0076,0.6026,0.2942,98a6927f,20
ogbn-arxiv,nsreg,E400_nsreg,10,0 1 2 3 4 5 6 7 8 42,400,0.6533 +- 0.0101,0.3110 +- 0.0052,0.6298,0.3001,38176515,40
ogbn-mag,outpost,A_main,10,0 1 2 3 4 5 6 7 8 42,400,0.5928 +- 0.0034,0.0101 +- 0.0001,0.5725,0.0090,80278498 d975d501,150
photo,outpost,A_main,10,0 1 2 3 4 5 6 7 8 42,200,0.8374 +- 0.0293,0.5278 +- 0.0223,0.7722,0.4875,067c5ecd,20
photo,demo,B_demo,5,0 1 2 3 42,200,0.8300 +- 0.0225,0.5164 +- 0.0204,0.7591,0.4733,ab9d62d1,10
photo,demo,B_demo_mix,10,0 1 2 3 4 5 6 7 8 42,200,0.8403 +- 0.0217,0.5300 +- 0.0181,0.7670,0.4793,258a5c86,20
photo,outpost,C_noconformal,5,0 1 2 3 42,200,0.8270 +- 0.0182,0.5236 +- 0.0133,0.7682,0.4899,0abe2809,10
photo,outpost,C_nogate,5,0 1 2 3 42,200,0.8310 +- 0.0141,0.5207 +- 0.0099,0.7664,0.4841,837bf524,10
photo,outpost,C_nopl,5,0 1 2 3 42,200,0.7929 +- 0.0243,0.5016 +- 0.0116,0.7482,0.4766,680a26e2,10
photo,outpost,C_nosynth,5,0 1 2 3 42,200,0.8489 +- 0.0089,0.5282 +- 0.0106,0.7817,0.4922,3b5412fb,10
photo,outpost,C_sim,5,0 1 2 3 42,200,0.7721 +- 0.0309,0.4887 +- 0.0134,0.7080,0.4643,ad27cfe9,10
photo,demo,DT_lr0.001_wd0.0,3,0 1 42,200,0.8461 +- 0.0333,0.5366 +- 0.0224,0.7891,0.5047,11f12d50,6
photo,demo,DT_lr0.003_wd0.0,3,0 1 42,200,0.8481 +- 0.0398,0.5291 +- 0.0286,0.8039,0.5022,87f9759e,6
photo,demo,DT_lr0.003_wd0.0001,3,0 1 42,200,0.8572 +- 0.0309,0.5448 +- 0.0221,0.7883,0.4978,2770eeea,6
photo,outpost,D_lambda0.5,5,0 1 2 3 42,200,0.8258 +- 0.0224,0.5225 +- 0.0188,0.7738,0.4894,5ee50755,10
photo,outpost,D_lambda1.25,5,0 1 2 3 42,200,0.8332 +- 0.0135,0.5200 +- 0.0104,0.7689,0.4865,1be3f924,10
photo,outpost,D_lambda1.5,5,0 1 2 3 42,200,0.8303 +- 0.0143,0.5172 +- 0.0126,0.7720,0.4859,103f590c,10
photo,demo,E400_DT_lr0.001_wd0.0,3,0 1 42,400,0.8813 +- 0.0258,0.5786 +- 0.0335,0.8236,0.5256,ce8028c2,6
photo,demo,E400_DT_lr0.003_wd0.0,3,0 1 42,400,0.8811 +- 0.0359,0.5649 +- 0.0450,0.8211,0.5135,304d8e5f,6
photo,demo,E400_DT_lr0.003_wd0.0001,2,0 1,400,0.8656 +- 0.0001,0.5632 +- 0.0023,0.7738,0.5028,53b57cf8,4
photo,outpost,E400_T_Kp12,3,0 1 42,400,0.8660 +- 0.0051,0.5459 +- 0.0110,0.7923,0.4999,217d3b58,6
photo,outpost,E400_T_Kp4,3,0 1 42,400,0.8656 +- 0.0075,0.5484 +- 0.0169,0.7947,0.5049,fd4e9f17,6
photo,outpost,E400_T_alpha0.01,3,0 1 42,400,0.8744 +- 0.0157,0.5618 +- 0.0189,0.8150,0.5132,ba25af07,6
photo,outpost,E400_T_drop0.3,3,0 1 42,400,0.8758 +- 0.0151,0.5522 +- 0.0233,0.8028,0.5051,5c0fb590,6
photo,outpost,E400_T_gateq0.8,3,0 1 42,400,0.8654 +- 0.0105,0.5451 +- 0.0104,0.8173,0.5105,48bec31c,6
photo,outpost,E400_T_hidden128,3,0 1 42,400,0.8792 +- 0.0135,0.5595 +- 0.0198,0.8249,0.5184,d2e3f281,6
photo,outpost,E400_T_hidden32,3,0 1 42,400,0.8729 +- 0.0184,0.5522 +- 0.0186,0.8137,0.5134,dfe5019f,6
photo,outpost,E400_T_lambda_un0.5,3,0 1 42,400,0.8635 +- 0.0131,0.5536 +- 0.0137,0.8086,0.5171,de9c7fd4,6
photo,outpost,E400_T_lambda_un1.5,3,0 1 42,400,0.8628 +- 0.0129,0.5380 +- 0.0141,0.7937,0.4969,62d35eb1,6
photo,outpost,E400_T_lean,3,0 1 42,400,0.8719 +- 0.0199,0.5494 +- 0.0263,0.7855,0.4911,ac89e308,6
photo,outpost,E400_T_lr0.003,3,0 1 42,400,0.8867 +- 0.0144,0.5647 +- 0.0292,0.8028,0.5072,9bbb01be,6
photo,outpost,E400_T_warmup15,3,0 1 42,400,0.8676 +- 0.0200,0.5504 +- 0.0267,0.8077,0.5145,fa4e1520,6
photo,demo,E400_demo,10,0 1 2 3 4 5 6 7 8 42,400,0.8879 +- 0.0155,0.5848 +- 0.0204,0.7744,0.4869,82e18004,20
photo,outpost,E400_nogate,10,0 1 2 3 4 5 6 7 8 42,400,0.8701 +- 0.0175,0.5504 +- 0.0211,0.7860,0.4939,0a93e3b3,20
photo,nsreg,E400_nsreg,10,0 1 2 3 4 5 6 7 8 42,400,0.8760 +- 0.0412,0.5902 +- 0.0585,0.7929,0.5057,08bff483,20
photo,outpost,E400_outpost,10,0 1 2 3 4 5 6 7 8 42,400,0.8703 +- 0.0243,0.5557 +- 0.0356,0.7914,0.4976,260a1127,20
photo,demo,E_demo_energy,3,0 1 42,200,0.8364 +- 0.0371,0.5244 +- 0.0295,0.7864,0.4927,63aea19c,6
photo,demo,E_demo_noenergy,3,0 1 42,200,0.8395 +- 0.0231,0.5235 +- 0.0214,0.7706,0.4813,ab9d62d1,6
photo,outpost,G_b100_sim0.0,5,0 1 2 3 42,200,0.8293 +- 0.0137,0.5185 +- 0.0102,0.7658,0.4867,655c4adc,10
photo,outpost,G_b100_sim1.0,5,0 1 2 3 42,200,0.7745 +- 0.0193,0.4912 +- 0.0142,0.7106,0.4679,9232970e,10
photo,outpost,G_b10_sim0.0,5,0 1 2 3 42,200,0.8382 +- 0.0141,0.5271 +- 0.0091,0.7641,0.4858,ac16188b,10
photo,outpost,G_b10_sim1.0,5,0 1 2 3 42,200,0.7746 +- 0.0237,0.4828 +- 0.0138,0.7018,0.4558,cc0419e6,10
photo,outpost,G_b50_sim0.0,5,0 1 2 3 42,200,0.8315 +- 0.0135,0.5220 +- 0.0078,0.7608,0.4838,0da91895,10
photo,outpost,G_b50_sim1.0,5,0 1 2 3 42,200,0.7863 +- 0.0163,0.4952 +- 0.0145,0.6970,0.4610,a620969f,10
photo,outpost,G_b5_sim0.0,5,0 1 2 3 42,200,0.8306 +- 0.0177,0.5243 +- 0.0146,0.7566,0.4781,bc27011d,10
photo,outpost,G_b5_sim1.0,5,0 1 2 3 42,200,0.7706 +- 0.0134,0.4818 +- 0.0067,0.7101,0.4532,06a17e04,10
photo,demo,H_anom100,3,0 1 42,200,0.8331 +- 0.0370,0.4891 +- 0.0295,0.7465,0.4364,32ab8d01,6
photo,demo,H_anom200,3,0 1 42,200,0.7875 +- 0.0209,0.3464 +- 0.0089,0.7094,0.3077,1ed36585,6
photo,demo,H_ep400,3,0 1 42,400,0.8919 +- 0.0231,0.5923 +- 0.0323,0.8112,0.5168,82e18004,6
photo,demo,H_norm0.10,3,0 1 42,200,0.8203 +- 0.0311,0.5209 +- 0.0150,0.7812,0.4941,1b29f20b,6
photo,demo,H_norm0.20,3,0 1 42,200,0.8161 +- 0.0270,0.5262 +- 0.0142,0.7747,0.5037,b79df96b,6
photo,outpost,L_lean,10,0 1 2 3 4 5 6 7 8 42,200,0.7993 +- 0.0248,0.5056 +- 0.0135,0.7575,0.4784,23a39b01,20
photo,nsreg,N201_nsreg,5,0 1 2 3 42,201,0.8121 +- 0.0565,0.5216 +- 0.0675,0.7645,0.4860,48f01da2,10
photo,nsreg,NT_lr0.001_wd0.0001,3,0 1 42,400,0.8629 +- 0.0464,0.5790 +- 0.0741,0.8155,0.5303,023817f5,6
photo,nsreg,NT_lr0.003_wd0.0,10,0 1 2 3 4 5 6 7 8 42,400,0.8782 +- 0.0329,0.5660 +- 0.0604,0.7961,0.4788,86573220,20
photo,nsreg,NT_lr0.003_wd0.0001,3,0 1 42,400,0.8624 +- 0.0393,0.5606 +- 0.0550,0.8137,0.5257,ff2614a2,6
photo,outpost,T_Kp12,3,0 1 42,200,0.8413 +- 0.0151,0.5316 +- 0.0133,0.7514,0.4765,6c6c85e4,6
photo,outpost,T_Kp4,3,0 1 42,200,0.8372 +- 0.0213,0.5277 +- 0.0166,0.7879,0.4993,8a42c252,6
