run,dataset,config,seed,group,scope,rotation,n_epochs,best_roc,best_pr,best_uroc,best_upr,atbestval_roc,atbestval_pr,atbestval_epoch,max_val_auc
cmp_h16-gateOn-s0,yelp,"lean h16, gate ON",0,compression,rotation0,0,400,0.7342,0.3434,0.5,0.0,0.6303,0.197,138,0.6829
cmp_h16-gateOn-s0,yelp,"lean h16, gate ON",0,compression,AGGREGATE,-1,400,0.7342,0.3434,0.5,0.0,0.6303,0.197,-1,0.6829
cmp_h16-gateOn-s42,yelp,"lean h16, gate ON",42,compression,rotation0,0,400,0.7229,0.3132,0.5,0.0,0.7226,0.3128,398,0.6834
cmp_h16-gateOn-s42,yelp,"lean h16, gate ON",42,compression,AGGREGATE,-1,400,0.7229,0.3132,0.5,0.0,0.7226,0.3128,-1,0.6834
cmp_h32-gateOff-s0,yelp,"lean h32, gate OFF",0,compression,rotation0,0,400,0.7468,0.3803,0.5,0.0,0.7458,0.3779,392,0.6577
cmp_h32-gateOff-s0,yelp,"lean h32, gate OFF",0,compression,AGGREGATE,-1,400,0.7468,0.3803,0.5,0.0,0.7458,0.3779,-1,0.6577
cmp_h32-gateOff-s42,yelp,"lean h32, gate OFF",42,compression,rotation0,0,400,0.7281,0.3297,0.5,0.0,0.7277,0.3297,398,0.7118
cmp_h32-gateOff-s42,yelp,"lean h32, gate OFF",42,compression,AGGREGATE,-1,400,0.7281,0.3297,0.5,0.0,0.7277,0.3297,-1,0.7118
cmp_h32-gateOn-s0,yelp,"lean h32, gate ON",0,compression,rotation0,0,400,0.7488,0.3723,0.5,0.0,0.7487,0.3699,399,0.6719
cmp_h32-gateOn-s0,yelp,"lean h32, gate ON",0,compression,AGGREGATE,-1,400,0.7488,0.3723,0.5,0.0,0.7487,0.3699,-1,0.6719
cmp_h32-gateOn-s42,yelp,"lean h32, gate ON",42,compression,rotation0,0,400,0.7311,0.3312,0.5,0.0,0.73,0.3277,386,0.7257
cmp_h32-gateOn-s42,yelp,"lean h32, gate ON",42,compression,AGGREGATE,-1,400,0.7311,0.3312,0.5,0.0,0.73,0.3277,-1,0.7257
sg-42,photo,full + gate,42,photo gate A/B,rotation0,0,200,0.8755,0.6016,0.7708,0.1032,0.7926,0.5423,90,0.9957
sg-42,photo,full + gate,42,photo gate A/B,rotation1,1,200,0.8757,0.5145,0.8269,0.157,0.7846,0.4465,80,0.987
sg-42,photo,full + gate,42,photo gate A/B,AGGREGATE,-1,400,0.8755999999999999,0.5580499999999999,0.7988500000000001,0.1301,0.7886,0.4944,-1,0.99135
sg-t0,photo,full + gate,42/t0,photo gate A/B,rotation0,0,200,0.8586,0.5894,0.7403,0.0914,0.7927,0.5462,81,0.9961
sg-t0,photo,full + gate,42/t0,photo gate A/B,rotation1,1,200,0.7997,0.4616,0.8567,0.1855,0.7635,0.4411,168,0.9889
sg-t0,photo,full + gate,42/t0,photo gate A/B,AGGREGATE,-1,400,0.82915,0.5255000000000001,0.7985,0.13845,0.7781,0.49365000000000003,-1,0.9924999999999999
sg-t1,photo,full + gate,42/t1,photo gate A/B,rotation0,0,200,0.8714,0.6059,0.7638,0.1037,0.7946,0.5428,74,0.9971
sg-t1,photo,full + gate,42/t1,photo gate A/B,rotation1,1,200,0.8985,0.531,0.8715,0.2399,0.7806,0.4257,87,0.9952
sg-t1,photo,full + gate,42/t1,photo gate A/B,AGGREGATE,-1,400,0.8849499999999999,0.56845,0.81765,0.1718,0.7876,0.48424999999999996,-1,0.99615
