# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 42 --method nsreg --tag NT_lr0.003_wd0.0 --rotations 0 --set lr=0.003 lbl_lr=0.003 clf_lr=0.003 weight_decay=0.0 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 477  num train neg edges: 3188
NSReg Training ...
Batch mode: enabled original propertion
Epoch 184 loss=0.4949, clf_loss=0.0009, lbl_loss=0.4940
Epoch 185 loss=0.5392, clf_loss=0.0008, lbl_loss=0.5384
Epoch 186 loss=0.5215, clf_loss=0.0010, lbl_loss=0.5205
Epoch 187 loss=0.4852, clf_loss=0.0008, lbl_loss=0.4844
Epoch 188 loss=0.4986, clf_loss=0.0010, lbl_loss=0.4976
Epoch 189 loss=0.5190, clf_loss=0.0006, lbl_loss=0.5184
Epoch 190 loss=0.4804, clf_loss=0.0007, lbl_loss=0.4796
Epoch 191 loss=0.5447, clf_loss=0.0006, lbl_loss=0.5441
Epoch 192 loss=0.4842, clf_loss=0.0025, lbl_loss=0.4817
Epoch 193 loss=0.4878, clf_loss=0.0012, lbl_loss=0.4866
Epoch 194 loss=0.4824, clf_loss=0.0011, lbl_loss=0.4812
Epoch 195 loss=0.4986, clf_loss=0.0050, lbl_loss=0.4936
Epoch 196 loss=0.5137, clf_loss=0.0045, lbl_loss=0.5092
Epoch 197 loss=0.5067, clf_loss=0.0020, lbl_loss=0.5048
Epoch 198 loss=0.4876, clf_loss=0.0043, lbl_loss=0.4833
Epoch 199 loss=0.4915, clf_loss=0.0006, lbl_loss=0.4909
Epoch 200 loss=0.4724, clf_loss=0.0005, lbl_loss=0.4719
Epoch 201 loss=0.4975, clf_loss=0.0068, lbl_loss=0.4907
Epoch 202 loss=0.5183, clf_loss=0.0021, lbl_loss=0.5162
Epoch 203 loss=0.5308, clf_loss=0.0003, lbl_loss=0.5305
Epoch 204 loss=0.4971, clf_loss=0.0004, lbl_loss=0.4966
Epoch 205 loss=0.4976, clf_loss=0.0021, lbl_loss=0.4955
Epoch 206 loss=0.4737, clf_loss=0.0008, lbl_loss=0.4729
Epoch 207 loss=0.5240, clf_loss=0.0012, lbl_loss=0.5227
Epoch 208 loss=0.5092, clf_loss=0.0021, lbl_loss=0.5071
