2026-08-09 21:09:09,431 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 21:41:47,534 INFO [OUTPOST-v4] epoch 303 cur={'auroc_all': 0.6968757156180028, 'aupr_all': 0.31844674076825075, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7328231292517007} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:54,145 INFO [OUTPOST-v4] epoch 304 cur={'auroc_all': 0.6983416740691266, 'aupr_all': 0.3199353254322227, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7337585034013605} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:00,478 INFO [OUTPOST-v4] epoch 305 cur={'auroc_all': 0.7007304818370224, 'aupr_all': 0.3220522736615331, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7352891156462585} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:07,252 INFO [OUTPOST-v4] epoch 306 cur={'auroc_all': 0.7036694294443069, 'aupr_all': 0.3244870911570552, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7360544217687075} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3244870911570552, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:13,845 INFO [OUTPOST-v4] epoch 307 cur={'auroc_all': 0.7056578503637209, 'aupr_all': 0.3259235268099511, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.733078231292517} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3259235268099511, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:20,450 INFO [OUTPOST-v4] epoch 308 cur={'auroc_all': 0.7060271153088258, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7318877551020408} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:26,982 INFO [OUTPOST-v4] epoch 309 cur={'auroc_all': 0.7047016128958756, 'aupr_all': 0.32558670463423467, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7346938775510204} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:33,270 INFO [OUTPOST-v4] epoch 310 cur={'auroc_all': 0.7023968020387559, 'aupr_all': 0.3238005901193348, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7354591836734694} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:39,755 INFO [OUTPOST-v4] epoch 311 cur={'auroc_all': 0.7002088178926036, 'aupr_all': 0.3218328932779891, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7340986394557824} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:46,192 INFO [OUTPOST-v4] epoch 312 cur={'auroc_all': 0.6990952157975661, 'aupr_all': 0.32095275164659187, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7312925170068028} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:52,648 INFO [OUTPOST-v4] epoch 313 cur={'auroc_all': 0.6985967398368254, 'aupr_all': 0.3204698789362541, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7312074829931973} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:42:59,155 INFO [OUTPOST-v4] epoch 314 cur={'auroc_all': 0.6993632160097722, 'aupr_all': 0.3212882026268858, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7313775510204081} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:05,626 INFO [OUTPOST-v4] epoch 315 cur={'auroc_all': 0.7011962429521647, 'aupr_all': 0.3231772260306865, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7331632653061225} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:12,255 INFO [OUTPOST-v4] epoch 316 cur={'auroc_all': 0.7031916555741642, 'aupr_all': 0.32548093638345443, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7331632653061224} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32626631274605555, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:18,975 INFO [OUTPOST-v4] epoch 317 cur={'auroc_all': 0.7044128079550418, 'aupr_all': 0.3267775356257816, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.730187074829932} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3267775356257816, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:25,569 INFO [OUTPOST-v4] epoch 318 cur={'auroc_all': 0.7046629409390314, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7295068027210884} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:32,204 INFO [OUTPOST-v4] epoch 319 cur={'auroc_all': 0.7042478522191702, 'aupr_all': 0.3270496624689492, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7304421768707483} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
