2026-08-21 20:21:11,380 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.1'], 'tag': 'T_drop0.1', 'rotations': None}
2026-08-21 20:33:20,540 INFO [OUTPOST-v4] epoch 158 cur={'auroc_all': 0.7067840030370347, 'aupr_all': 0.2879168348706023, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6985544217687074} best={'auroc_all': 0.7067840030370347, 'aupr_all': 0.2879168348706023, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:25,415 INFO [OUTPOST-v4] epoch 159 cur={'auroc_all': 0.7070692176995883, 'aupr_all': 0.2884279264369115, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6988095238095239} best={'auroc_all': 0.7070692176995883, 'aupr_all': 0.2884279264369115, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:30,116 INFO [OUTPOST-v4] epoch 160 cur={'auroc_all': 0.7073472415417785, 'aupr_all': 0.2889210123764091, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.699234693877551} best={'auroc_all': 0.7073472415417785, 'aupr_all': 0.2889210123764091, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:34,819 INFO [OUTPOST-v4] epoch 161 cur={'auroc_all': 0.7076048075718817, 'aupr_all': 0.28938758744562587, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6993197278911565} best={'auroc_all': 0.7076048075718817, 'aupr_all': 0.28938758744562587, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:39,700 INFO [OUTPOST-v4] epoch 162 cur={'auroc_all': 0.7078348173437611, 'aupr_all': 0.2898066501537142, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6994897959183674} best={'auroc_all': 0.7078348173437611, 'aupr_all': 0.2898066501537142, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:44,434 INFO [OUTPOST-v4] epoch 163 cur={'auroc_all': 0.7080317653535018, 'aupr_all': 0.29014620237463384, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6996598639455782} best={'auroc_all': 0.7080317653535018, 'aupr_all': 0.29014620237463384, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:48,980 INFO [OUTPOST-v4] epoch 164 cur={'auroc_all': 0.708251585221789, 'aupr_all': 0.2905493251101775, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6999149659863946} best={'auroc_all': 0.708251585221789, 'aupr_all': 0.2905493251101775, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:53,716 INFO [OUTPOST-v4] epoch 165 cur={'auroc_all': 0.7084546258249746, 'aupr_all': 0.2909259807391137, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7003401360544218} best={'auroc_all': 0.7084546258249746, 'aupr_all': 0.2909259807391137, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:58,184 INFO [OUTPOST-v4] epoch 166 cur={'auroc_all': 0.7086316353710587, 'aupr_all': 0.29121449152900986, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7005952380952382} best={'auroc_all': 0.7086316353710587, 'aupr_all': 0.29121449152900986, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:02,773 INFO [OUTPOST-v4] epoch 167 cur={'auroc_all': 0.7088025790095852, 'aupr_all': 0.2915131355396999, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7008503401360544} best={'auroc_all': 0.7088025790095852, 'aupr_all': 0.2915131355396999, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:07,443 INFO [OUTPOST-v4] epoch 168 cur={'auroc_all': 0.7089405142577484, 'aupr_all': 0.2917089907552802, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7013605442176871} best={'auroc_all': 0.7089405142577484, 'aupr_all': 0.2917089907552802, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:12,231 INFO [OUTPOST-v4] epoch 169 cur={'auroc_all': 0.7090701091396152, 'aupr_all': 0.2918609359324328, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7019557823129252} best={'auroc_all': 0.7090701091396152, 'aupr_all': 0.2918609359324328, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:16,915 INFO [OUTPOST-v4] epoch 170 cur={'auroc_all': 0.7092153522154957, 'aupr_all': 0.29207195054325374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7019557823129252} best={'auroc_all': 0.7092153522154957, 'aupr_all': 0.29207195054325374, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:21,736 INFO [OUTPOST-v4] epoch 171 cur={'auroc_all': 0.7093818618911376, 'aupr_all': 0.2923557128997754, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.702295918367347} best={'auroc_all': 0.7093818618911376, 'aupr_all': 0.2923557128997754, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:26,247 INFO [OUTPOST-v4] epoch 172 cur={'auroc_all': 0.7095636933718585, 'aupr_all': 0.2927024210916693, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7021258503401361} best={'auroc_all': 0.7095636933718585, 'aupr_all': 0.2927024210916693, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:30,883 INFO [OUTPOST-v4] epoch 173 cur={'auroc_all': 0.7097288133285778, 'aupr_all': 0.2930859962530561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7020408163265306} best={'auroc_all': 0.7097288133285778, 'aupr_all': 0.2930859962530561, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:35,617 INFO [OUTPOST-v4] epoch 174 cur={'auroc_all': 0.7098785129477094, 'aupr_all': 0.29346081595870244, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7020408163265306} best={'auroc_all': 0.7098785129477094, 'aupr_all': 0.29346081595870244, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:40,443 INFO [OUTPOST-v4] epoch 175 cur={'auroc_all': 0.7100066750026811, 'aupr_all': 0.29382744222799584, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7022108843537415} best={'auroc_all': 0.7100066750026811, 'aupr_all': 0.29382744222799584, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:44,990 INFO [OUTPOST-v4] epoch 176 cur={'auroc_all': 0.7101388502046154, 'aupr_all': 0.2940883897263371, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7026360544217687} best={'auroc_all': 0.7101388502046154, 'aupr_all': 0.2940883897263371, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:49,738 INFO [OUTPOST-v4] epoch 177 cur={'auroc_all': 0.7102702884654963, 'aupr_all': 0.29432800706856044, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7032312925170068} best={'auroc_all': 0.7102702884654963, 'aupr_all': 0.29432800706856044, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:54,752 INFO [OUTPOST-v4] epoch 178 cur={'auroc_all': 0.7103954514372391, 'aupr_all': 0.29459936865129877, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7032312925170069} best={'auroc_all': 0.7103954514372391, 'aupr_all': 0.29459936865129877, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:34:59,436 INFO [OUTPOST-v4] epoch 179 cur={'auroc_all': 0.7105604359117591, 'aupr_all': 0.2948000760079144, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7037414965986394} best={'auroc_all': 0.7105604359117591, 'aupr_all': 0.2948000760079144, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:03,988 INFO [OUTPOST-v4] epoch 180 cur={'auroc_all': 0.7107595824280967, 'aupr_all': 0.29506924016729746, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7038265306122449} best={'auroc_all': 0.7107595824280967, 'aupr_all': 0.29506924016729746, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:08,545 INFO [OUTPOST-v4] epoch 181 cur={'auroc_all': 0.7110224261056889, 'aupr_all': 0.29548352707544023, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7041666666666666} best={'auroc_all': 0.7110224261056889, 'aupr_all': 0.29548352707544023, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
