2026-08-10 00:07:18,203 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['use_fview_gate=true'], 'tag': 'C_fview', 'rotations': None}
2026-08-10 00:43:36,880 INFO [OUTPOST-v4] epoch 354 cur={'auroc_all': 0.727952575269045, 'aupr_all': 0.36774705245209904, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7925170068027212} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.36786396974566693, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:42,857 INFO [OUTPOST-v4] epoch 355 cur={'auroc_all': 0.7284443961799374, 'aupr_all': 0.36860419278026935, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7928571428571428} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.36860419278026935, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:48,832 INFO [OUTPOST-v4] epoch 356 cur={'auroc_all': 0.7296972185512705, 'aupr_all': 0.3703410251772954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7937925170068028} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3703410251772954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:54,806 INFO [OUTPOST-v4] epoch 357 cur={'auroc_all': 0.7305825434043707, 'aupr_all': 0.3715740470476317, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7943877551020408} best={'auroc_all': 0.7305825434043707, 'aupr_all': 0.3715740470476317, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:00,782 INFO [OUTPOST-v4] epoch 358 cur={'auroc_all': 0.7300977306181485, 'aupr_all': 0.3711911817068431, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7935374149659864} best={'auroc_all': 0.7305825434043707, 'aupr_all': 0.3715740470476317, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:06,817 INFO [OUTPOST-v4] epoch 359 cur={'auroc_all': 0.7300021622959001, 'aupr_all': 0.37114430946545673, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7927721088435374} best={'auroc_all': 0.7305825434043707, 'aupr_all': 0.3715740470476317, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:12,793 INFO [OUTPOST-v4] epoch 360 cur={'auroc_all': 0.7311183016030327, 'aupr_all': 0.37252158177695094, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7936224489795919} best={'auroc_all': 0.7311183016030327, 'aupr_all': 0.37252158177695094, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:18,786 INFO [OUTPOST-v4] epoch 361 cur={'auroc_all': 0.7323485292384997, 'aupr_all': 0.3741616234476204, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.794047619047619} best={'auroc_all': 0.7323485292384997, 'aupr_all': 0.3741616234476204, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:24,853 INFO [OUTPOST-v4] epoch 362 cur={'auroc_all': 0.7328356144307, 'aupr_all': 0.37502507441005456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7935374149659865} best={'auroc_all': 0.7328356144307, 'aupr_all': 0.37502507441005456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:30,855 INFO [OUTPOST-v4] epoch 363 cur={'auroc_all': 0.7323391522281029, 'aupr_all': 0.3747290836246111, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7938775510204081} best={'auroc_all': 0.7328356144307, 'aupr_all': 0.37502507441005456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:36,851 INFO [OUTPOST-v4] epoch 364 cur={'auroc_all': 0.7321921540419138, 'aupr_all': 0.3748384144251595, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7945578231292517} best={'auroc_all': 0.7328356144307, 'aupr_all': 0.37502507441005456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:42,832 INFO [OUTPOST-v4] epoch 365 cur={'auroc_all': 0.7326178678506136, 'aupr_all': 0.37570377356105145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7949829931972789} best={'auroc_all': 0.7328356144307, 'aupr_all': 0.37570377356105145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:48,798 INFO [OUTPOST-v4] epoch 366 cur={'auroc_all': 0.7329994432010052, 'aupr_all': 0.376670393552456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7950680272108843} best={'auroc_all': 0.7329994432010052, 'aupr_all': 0.376670393552456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:44:54,807 INFO [OUTPOST-v4] epoch 367 cur={'auroc_all': 0.7327510324831545, 'aupr_all': 0.37690364909808005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7947278911564627} best={'auroc_all': 0.7329994432010052, 'aupr_all': 0.37690364909808005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:45:00,808 INFO [OUTPOST-v4] epoch 368 cur={'auroc_all': 0.7316496607357404, 'aupr_all': 0.37609732482613784, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7929421768707482} best={'auroc_all': 0.7329994432010052, 'aupr_all': 0.37690364909808005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:45:06,799 INFO [OUTPOST-v4] epoch 369 cur={'auroc_all': 0.7307174877803473, 'aupr_all': 0.37545401573722603, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7931122448979592} best={'auroc_all': 0.7329994432010052, 'aupr_all': 0.37690364909808005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
