2026-08-10 07:05:12,814 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 6, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'C_nogate', 'rotations': None}
2026-08-10 07:21:39,296 INFO [OUTPOST-v4] epoch 134 cur={'auroc_all': 0.608291675225652, 'aupr_all': 0.20383933616546324, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5790816326530612} best={'auroc_all': 0.608291675225652, 'aupr_all': 0.20383933616546324, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:21:46,903 INFO [OUTPOST-v4] epoch 135 cur={'auroc_all': 0.6096878706079637, 'aupr_all': 0.2047932302760869, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.579889455782313} best={'auroc_all': 0.6096878706079637, 'aupr_all': 0.2047932302760869, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:21:54,601 INFO [OUTPOST-v4] epoch 136 cur={'auroc_all': 0.6112929035893808, 'aupr_all': 0.20592319343378115, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5808673469387755} best={'auroc_all': 0.6112929035893808, 'aupr_all': 0.20592319343378115, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:02,368 INFO [OUTPOST-v4] epoch 137 cur={'auroc_all': 0.6129026661312081, 'aupr_all': 0.20702708724538357, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.58171768707483} best={'auroc_all': 0.6129026661312081, 'aupr_all': 0.20702708724538357, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:09,918 INFO [OUTPOST-v4] epoch 138 cur={'auroc_all': 0.6144566900646067, 'aupr_all': 0.2081211640275681, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5841836734693878} best={'auroc_all': 0.6144566900646067, 'aupr_all': 0.2081211640275681, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:17,199 INFO [OUTPOST-v4] epoch 139 cur={'auroc_all': 0.616066766678805, 'aupr_all': 0.20921938844542207, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5861394557823129} best={'auroc_all': 0.616066766678805, 'aupr_all': 0.20921938844542207, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:24,957 INFO [OUTPOST-v4] epoch 140 cur={'auroc_all': 0.6176719433534639, 'aupr_all': 0.21027499265019434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5878401360544218} best={'auroc_all': 0.6176719433534639, 'aupr_all': 0.21027499265019434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:32,527 INFO [OUTPOST-v4] epoch 141 cur={'auroc_all': 0.6192819768596897, 'aupr_all': 0.21134310122600228, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5883503401360545} best={'auroc_all': 0.6192819768596897, 'aupr_all': 0.21134310122600228, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:39,999 INFO [OUTPOST-v4] epoch 142 cur={'auroc_all': 0.6207968649123496, 'aupr_all': 0.2123671722591412, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5887755102040817} best={'auroc_all': 0.6207968649123496, 'aupr_all': 0.2123671722591412, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:47,431 INFO [OUTPOST-v4] epoch 143 cur={'auroc_all': 0.6222995718836403, 'aupr_all': 0.21338400203744384, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5895408163265307} best={'auroc_all': 0.6222995718836403, 'aupr_all': 0.21338400203744384, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:22:54,899 INFO [OUTPOST-v4] epoch 144 cur={'auroc_all': 0.6234451108280108, 'aupr_all': 0.21418999925366647, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5905612244897959} best={'auroc_all': 0.6234451108280108, 'aupr_all': 0.21418999925366647, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:02,549 INFO [OUTPOST-v4] epoch 145 cur={'auroc_all': 0.6245080487388097, 'aupr_all': 0.21503519720686898, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.591156462585034} best={'auroc_all': 0.6245080487388097, 'aupr_all': 0.21503519720686898, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:10,042 INFO [OUTPOST-v4] epoch 146 cur={'auroc_all': 0.6255108715555919, 'aupr_all': 0.21581182648565148, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5911564625850341} best={'auroc_all': 0.6255108715555919, 'aupr_all': 0.21581182648565148, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:17,914 INFO [OUTPOST-v4] epoch 147 cur={'auroc_all': 0.6265471728449137, 'aupr_all': 0.2166637732666941, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5914965986394558} best={'auroc_all': 0.6265471728449137, 'aupr_all': 0.2166637732666941, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:25,596 INFO [OUTPOST-v4] epoch 148 cur={'auroc_all': 0.6275901887141407, 'aupr_all': 0.21751866244972562, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5924319727891155} best={'auroc_all': 0.6275901887141407, 'aupr_all': 0.21751866244972562, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:33,188 INFO [OUTPOST-v4] epoch 149 cur={'auroc_all': 0.6286631317800784, 'aupr_all': 0.21839015865154188, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5932823129251701} best={'auroc_all': 0.6286631317800784, 'aupr_all': 0.21839015865154188, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:40,480 INFO [OUTPOST-v4] epoch 150 cur={'auroc_all': 0.630366832752242, 'aupr_all': 0.21964499899552767, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5933673469387755} best={'auroc_all': 0.630366832752242, 'aupr_all': 0.21964499899552767, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:48,002 INFO [OUTPOST-v4] epoch 151 cur={'auroc_all': 0.6319662411696295, 'aupr_all': 0.22086873340564162, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5943027210884353} best={'auroc_all': 0.6319662411696295, 'aupr_all': 0.22086873340564162, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:23:55,570 INFO [OUTPOST-v4] epoch 152 cur={'auroc_all': 0.6337211893100406, 'aupr_all': 0.2221961404343299, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5959183673469388} best={'auroc_all': 0.6337211893100406, 'aupr_all': 0.2221961404343299, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:24:03,673 INFO [OUTPOST-v4] epoch 153 cur={'auroc_all': 0.6357933094899443, 'aupr_all': 0.22364926633307305, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5965136054421769} best={'auroc_all': 0.6357933094899443, 'aupr_all': 0.22364926633307305, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:24:11,652 INFO [OUTPOST-v4] epoch 154 cur={'auroc_all': 0.6380855184497729, 'aupr_all': 0.22521694770444387, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5974489795918367} best={'auroc_all': 0.6380855184497729, 'aupr_all': 0.22521694770444387, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:24:19,375 INFO [OUTPOST-v4] epoch 155 cur={'auroc_all': 0.6400327999941078, 'aupr_all': 0.22659777783306448, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5983843537414966} best={'auroc_all': 0.6400327999941078, 'aupr_all': 0.22659777783306448, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
