2026-08-21 21:13:04,517 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['alpha_plus=0.01'], 'tag': 'T_alpha0.01', 'rotations': None}
2026-08-21 21:39:15,259 INFO [OUTPOST-v4] epoch 333 cur={'auroc_all': 0.767267594266482, 'aupr_all': 0.42769198219259585, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.663860544217687} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:20,100 INFO [OUTPOST-v4] epoch 334 cur={'auroc_all': 0.7670827349638838, 'aupr_all': 0.4271988473310499, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6621598639455781} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:24,667 INFO [OUTPOST-v4] epoch 335 cur={'auroc_all': 0.7670947559299265, 'aupr_all': 0.4266488014451135, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.66156462585034} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:28,612 INFO [OUTPOST-v4] epoch 336 cur={'auroc_all': 0.7670236873053762, 'aupr_all': 0.4263396473596236, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6611394557823129} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:32,491 INFO [OUTPOST-v4] epoch 337 cur={'auroc_all': 0.7669946592178061, 'aupr_all': 0.42649634707692907, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6614795918367347} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:36,697 INFO [OUTPOST-v4] epoch 338 cur={'auroc_all': 0.7669718838390075, 'aupr_all': 0.42677823068041604, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6616496598639455} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:40,881 INFO [OUTPOST-v4] epoch 339 cur={'auroc_all': 0.7671111472232754, 'aupr_all': 0.42700217776540195, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6623299319727891} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:45,286 INFO [OUTPOST-v4] epoch 340 cur={'auroc_all': 0.7673197631242366, 'aupr_all': 0.42746972417399914, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6633503401360544} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:49,396 INFO [OUTPOST-v4] epoch 341 cur={'auroc_all': 0.7674987782174216, 'aupr_all': 0.4282896318921722, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6636904761904763} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:53,591 INFO [OUTPOST-v4] epoch 342 cur={'auroc_all': 0.7674533383088965, 'aupr_all': 0.4288434943386043, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6624149659863945} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4288434943386043, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
