2026-08-21 20:45:23,818 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['warmup_epochs=5'], 'tag': 'T_warmup5', 'rotations': None}
2026-08-21 21:00:23,800 INFO [OUTPOST-v4] epoch 187 cur={'auroc_all': 0.6927798526671318, 'aupr_all': 0.3013318029568978, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6069727891156462} best={'auroc_all': 0.6927798526671318, 'aupr_all': 0.3013318029568978, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:28,641 INFO [OUTPOST-v4] epoch 188 cur={'auroc_all': 0.6940090785554283, 'aupr_all': 0.30238107279409954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6086734693877551} best={'auroc_all': 0.6940090785554283, 'aupr_all': 0.30238107279409954, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:33,381 INFO [OUTPOST-v4] epoch 189 cur={'auroc_all': 0.6953639087589956, 'aupr_all': 0.30353009568992906, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6100340136054421} best={'auroc_all': 0.6953639087589956, 'aupr_all': 0.30353009568992906, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:38,184 INFO [OUTPOST-v4] epoch 190 cur={'auroc_all': 0.6967317432009306, 'aupr_all': 0.3046574370675419, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.610969387755102} best={'auroc_all': 0.6967317432009306, 'aupr_all': 0.3046574370675419, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:42,874 INFO [OUTPOST-v4] epoch 191 cur={'auroc_all': 0.6980535403810073, 'aupr_all': 0.30576422475306386, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6120748299319727} best={'auroc_all': 0.6980535403810073, 'aupr_all': 0.30576422475306386, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:47,930 INFO [OUTPOST-v4] epoch 192 cur={'auroc_all': 0.6993304170009895, 'aupr_all': 0.3068039991765372, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6131802721088435} best={'auroc_all': 0.6993304170009895, 'aupr_all': 0.3068039991765372, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:52,937 INFO [OUTPOST-v4] epoch 193 cur={'auroc_all': 0.70066082140624, 'aupr_all': 0.30790964326787357, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6144557823129251} best={'auroc_all': 0.70066082140624, 'aupr_all': 0.30790964326787357, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:57,902 INFO [OUTPOST-v4] epoch 194 cur={'auroc_all': 0.7018404033323136, 'aupr_all': 0.3089475839650554, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6158163265306122} best={'auroc_all': 0.7018404033323136, 'aupr_all': 0.3089475839650554, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:02,778 INFO [OUTPOST-v4] epoch 195 cur={'auroc_all': 0.7031112160974989, 'aupr_all': 0.31006013040544733, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6167517006802721} best={'auroc_all': 0.7031112160974989, 'aupr_all': 0.31006013040544733, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:07,822 INFO [OUTPOST-v4] epoch 196 cur={'auroc_all': 0.7043143616624394, 'aupr_all': 0.3111664149805378, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6187074829931973} best={'auroc_all': 0.7043143616624394, 'aupr_all': 0.3111664149805378, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
